z, y, u_fluc, v_fluc, w_fluc
    0.003192,    0.000015,   11.442813,    3.120366,   45.747205
    0.003325,    0.000015,   51.296377,   -1.454626,   -5.895408
    0.003458,    0.000015, -133.211074,    2.873808,    8.098165
    0.003591,    0.000015,  -35.579479,   -3.440651,  -14.933909
    0.003724,    0.000015,   58.533674,   -0.205516,  -21.177444
    0.003857,    0.000015,   27.365375,  -17.400168,   15.782517
    0.003990,    0.000015,  120.032279,   -2.394442,   10.586118
    0.000133,    0.000016,  -22.587145,   17.989452,   -4.111659
    0.000266,    0.000016,   45.556046,   -9.498325,  -52.356797
    0.000399,    0.000016,   90.680656,   -5.632285,  -30.038760
    0.000532,    0.000016,  -23.862842,  -13.242244,   -5.105529
    0.000665,    0.000016,   64.763077,    9.896807,   42.670724
    0.000798,    0.000016,  -72.192108,   20.224312,   -3.357618
    0.000931,    0.000016,   84.437419,    8.057205,    8.619963
    0.001064,    0.000016,   36.421215,   -0.789233,   19.642412
    0.001197,    0.000016,   84.895136,   11.022827,  -13.770482
    0.001330,    0.000016,   93.477986,   11.270664,   12.010318
    0.001463,    0.000016,  -46.677523,    4.360724,    1.982677
    0.001596,    0.000016,   62.676463,    0.704861,  -11.889148
    0.001729,    0.000016,   55.172349,    6.152412,    1.502427
    0.001862,    0.000016,  -22.367615,    2.566697,   -6.494667
    0.001995,    0.000016,   35.056704,    1.215722,    3.743420
    0.002128,    0.000016,  -51.273252,    9.752908,   34.986035
    0.002261,    0.000016,   17.436450,   -3.008331,  -37.065383
    0.002394,    0.000016,  -37.249924,   -7.332131,   -6.573444
    0.002527,    0.000016,  -52.927397,   -0.061624,   24.947438
    0.002660,    0.000016,   -8.878362,   -5.100858,   16.444549
    0.002793,    0.000016,  -32.595512,   -3.176088,   24.939252
    0.002926,    0.000016,   15.519649,   -8.775589,    3.159182
    0.003059,    0.000016,  105.571447,   -9.336824,  -15.211598
    0.003192,    0.000016,    6.572135,    5.268539,   49.688720
    0.003325,    0.000016,   51.598457,    0.105293,   -4.184562
    0.003458,    0.000016, -139.021955,    1.496935,    6.648955
    0.003591,    0.000016,  -36.797179,   -1.078159,  -19.543051
    0.003724,    0.000016,   81.236865,   -3.843236,  -26.654216
    0.003857,    0.000016,   47.521569,  -15.818606,   22.541883
    0.003990,    0.000016,  128.726543,   -9.920323,    6.660988
    0.000133,    0.000018,  -37.871201,   24.984992,   -9.487467
    0.000266,    0.000018,   43.518344,   -5.676385,  -56.802486
    0.000399,    0.000018,  104.988558,   -5.330599,  -25.780844
    0.000532,    0.000018,    0.878262,  -14.742817,   -0.590652
    0.000665,    0.000018,   66.909782,    9.813045,   41.131085
    0.000798,    0.000018,  -86.275870,   25.079009,   -3.866987
    0.000931,    0.000018,  103.150116,    7.945002,   11.878545
    0.001064,    0.000018,   45.003281,    4.190134,   22.472758
    0.001197,    0.000018,   86.112707,   13.083298,  -10.095046
    0.001330,    0.000018,  105.291255,   11.433312,   18.396622
    0.001463,    0.000018,  -40.801276,    6.288039,    3.474157
    0.001596,    0.000018,   66.511108,   -2.783833,  -11.978408
    0.001729,    0.000018,   51.650519,    6.344347,   -3.502174
    0.001862,    0.000018,  -19.618878,   -1.190804,   -4.973899
    0.001995,    0.000018,   22.945891,   -4.141311,    6.087021
    0.002128,    0.000018,  -75.988738,    9.021108,   36.906960
    0.002261,    0.000018,   14.271696,   -2.879592,  -40.262707
    0.002394,    0.000018,  -27.510767,   -3.169756,   -4.755552
    0.002527,    0.000018,  -80.941731,    1.489445,   25.741215
    0.002660,    0.000018,  -24.232720,   -7.136478,   11.880007
    0.002793,    0.000018,  -39.322811,   -5.968381,   24.968655
    0.002926,    0.000018,   33.822275,   -8.643884,    4.117304
    0.003059,    0.000018,  102.687287,   -2.084807,  -12.739711
    0.003192,    0.000018,    4.317447,    7.196430,   44.173784
